cc_id,kr_material_id,ec_facet_id,ec_material_id,kr_matches_ec_material,ec_primary_texture_id,ec_layer_texture_ids,ec_layer_repetitions,notes
72,55,72,72,false,2000720,2000720|2000721|1000003,5.000000|5.000000|32.000000,different_material_route
73,57,73,73,false,2000720,2000720|2000721|1000003|1267,4.000000|4.000000|16.000000|1.000000,different_material_route
74,57,74,74,false,2000720,2000720|2000721|1000003|1268,4.000000|4.000000|16.000000|1.000000,different_material_route
75,55,75,75,false,2000720,2000720|2000721|1000003|1268,4.000000|4.000000|16.000000|1.000000,different_material_route
76,52,76,52,true,2000520,2000520|2000520|1000003,5.000000|5.000000|16.000000,
77,52,77,77,false,2000720,2000720|2000721|1000003|1268,4.000000|4.000000|16.000000|1.000000,different_material_route
78,52,78,78,false,2000720,2000720|2000721|1000003|1269,4.000000|4.000000|16.000000|1.000000,different_material_route
79,52,79,79,false,2000720,2000720|2000721|1000003|1270,4.000000|4.000000|16.000000|1.000000,different_material_route
80,52,80,80,false,2000720,2000720|2000721|1000003|1271,4.000000|4.000000|16.000000|1.000000,different_material_route
81,52,81,81,false,2000720,2000720|2000721|1000003|1268,4.000000|4.000000|16.000000|1.000000,different_material_route
82,52,82,82,false,2000720,2000720|2000721|1000003|1268,4.000000|4.000000|16.000000|1.000000,different_material_route
83,52,83,83,false,2000720,2000720|2000721|1000003|1268,4.000000|4.000000|16.000000|1.000000,different_material_route
84,52,84,84,false,2000720,2000720|2000721|1000003|1268,4.000000|4.000000|16.000000|1.000000,different_material_route
85,52,85,85,false,2000720,2000720|2000721|1000003|1268,4.000000|4.000000|16.000000|1.000000,different_material_route
86,52,86,86,false,2000720,2000720|2000721|1000003|1268,4.000000|4.000000|16.000000|1.000000,different_material_route
87,52,87,87,false,2000720,2000720|2000721|1000003|1268,4.000000|4.000000|16.000000|1.000000,different_material_route
88,52,88,88,false,2000880,2000880|2000881|1000003,4.000000|4.000000|16.000000,different_material_route
89,52,89,89,false,2000880,2000880|2000881|1000003|1266,4.000000|4.000000|16.000000|1.000000,different_material_route
90,52,90,90,false,2000880,2000880|2000881|1000003,4.000000|4.000000|16.000000,different_material_route
91,52,91,91,false,2000880,2000880|2000881|1000003,4.000000|4.000000|16.000000,different_material_route
92,52,92,92,false,2000880,2000880|2000881|1000003,4.000000|4.000000|16.000000,different_material_route
93,52,93,93,false,2000880,2000880|2000881|1000003,4.000000|4.000000|16.000000,different_material_route
94,52,94,94,false,2000880,2000880|2000881|1000003,4.000000|4.000000|16.000000,different_material_route
95,52,95,95,false,2000880,2000880|2000881|1000003|1260,4.000000|4.000000|16.000000|1.000000,different_material_route
96,52,96,96,false,2000880,2000880|2000881|1000003|1261,4.000000|4.000000|16.000000|1.000000,different_material_route
97,52,97,97,false,2000880,2000880|2000881|1000003|1258,4.000000|4.000000|16.000000|1.000000,different_material_route
98,52,98,98,false,2000880,2000880|2000881|1000003|1260,4.000000|4.000000|16.000000|1.000000,different_material_route
99,52,99,99,false,2000880,2000880|2000881|1000003|1260,4.000000|4.000000|16.000000|1.000000,different_material_route
100,52,100,100,false,2000880,2000880|2000881|1000003|1260,4.000000|4.000000|16.000000|1.000000,different_material_route
101,52,101,101,false,2000880,2000880|2000881|1000003|1260,4.000000|4.000000|16.000000|1.000000,different_material_route
102,52,102,102,false,2000880,2000880|2000881|1000003,4.000000|4.000000|16.000000,different_material_route
104,52,,,,,,,
105,52,,,,,,,
106,52,,,,,,,
107,52,,,,,,,
108,52,,,,,,,
109,52,,,,,,,
110,52,,,,,,,
111,52,,,,,,,
113,155,113,155,true,2001540,2001540|2001541|1000003,4.000000|4.000000|16.000000,
114,155,114,114,false,2000110,2000110|2000111|1000003,4.000000|4.000000|16.000000,different_material_route
115,155,115,115,false,2000110,2000110|2000111|1000003,4.000000|4.000000|16.000000,different_material_route
116,155,116,116,false,2000110,2000110|2000111|1000003,4.000000|4.000000|16.000000,different_material_route
117,2,117,2,true,2000020,2000020|2000021|1000003,5.000000|5.000000|16.000000,
118,2,118,118,false,2000110,2000110|2000111|1000003,4.000000|4.000000|16.000000,different_material_route
119,2,119,2,true,2000020,2000020|2000021|1000003,5.000000|5.000000|16.000000,
120,2,120,120,false,2000120,2000120|2000121|1000003,4.000000|4.000000|16.000000,different_material_route
121,2,121,121,false,2000120,2000120|2000121|1000003,4.000000|4.000000|16.000000,different_material_route
122,2,122,122,false,2000120,2000120|2000121|1000003,4.000000|4.000000|16.000000,different_material_route
123,2,123,123,false,2000120,2000120|2000121|1000003,4.000000|4.000000|16.000000,different_material_route
124,2,124,124,false,2000120,2000120|2000121|1000003,4.000000|4.000000|16.000000,different_material_route
125,1,125,125,false,2000120,2000120|2000121|1000003,4.000000|4.000000|16.000000,different_material_route
126,1,126,126,false,2000120,2000120|2000121|1000003,4.000000|4.000000|16.000000,different_material_route
127,0,127,127,false,2000120,2000120|2000121|1000003,4.000000|4.000000|16.000000,different_material_route
129,0,,,,,,,
130,1,130,130,false,2000480,2000480|2000481|1000003|12904,5.000000|5.000000|16.000000|1.000000,different_material_route
131,1,131,131,false,2000480,2000480|2000481|1000003|12903,5.000000|5.000000|16.000000|1.000000,different_material_route
132,0,,,,,,,
133,2,133,133,false,2000480,2000480|2000481|1000003|12900,5.000000|5.000000|16.000000|1.000000,different_material_route
134,2,134,134,false,2000480,2000480|2000481|1000003|12898,5.000000|5.000000|16.000000|1.000000,different_material_route
135,2,135,135,false,2000480,2000480|2000481|1000003|12897,5.000000|5.000000|16.000000|1.000000,different_material_route
136,2,136,136,false,2000480,2000480|2000481|1000003|12902,5.000000|5.000000|16.000000|1.000000,different_material_route
137,2,137,137,false,2000480,2000480|2000481|1000003|12895,5.000000|5.000000|16.000000|1.000000,different_material_route
138,2,138,138,false,2000480,2000480|2000481|1000003|12894,5.000000|5.000000|16.000000|1.000000,different_material_route
139,2,139,139,false,2000480,2000480|2000481|1000003|12893,5.000000|5.000000|16.000000|1.000000,different_material_route
140,2,140,140,false,2000480,2000480|2000481|1000003|12892,5.000000|5.000000|16.000000|1.000000,different_material_route
141,58,141,58,true,2000580,2000580|2000581|1000003,5.000000|5.000000|16.000000,
142,58,142,142,false,2000480,2000480|2000481|1000003|12890,5.000000|5.000000|16.000000|1.000000,different_material_route
143,58,143,143,false,2000480,2000480|2000481|1000003|12889,5.000000|5.000000|16.000000|1.000000,different_material_route
144,58,144,144,false,2000480,2000480|2000481|1000003|12888,5.000000|5.000000|16.000000|1.000000,different_material_route
145,60,145,60,true,2000600,2000600|2000601|1000003,5.000000|5.000000|16.000000,
146,60,146,146,false,2001460,2001460|2001461|1000003,5.000000|5.000000|16.000000,different_material_route
147,60,147,147,false,2001470,2001470|2001471|1000003,5.000000|5.000000|16.000000,different_material_route
148,60,148,148,false,2001480,2001480|2001481|1000003,5.000000|5.000000|16.000000,different_material_route
149,59,149,59,true,2000590,2000590|2000591|1000003,5.000000|5.000000|16.000000,
150,58,150,150,false,2001500,2001500|2001501|1000003,5.000000|5.000000|16.000000,different_material_route
151,59,151,151,false,2001510,2001510|2001511|1000003,5.000000|5.000000|16.000000,different_material_route
152,59,152,152,false,2001520,2001520|2001521|1000003,5.000000|5.000000|16.000000,different_material_route
153,60,153,153,false,2001530,2001530|2001531|1000003,5.000000|5.000000|16.000000,different_material_route
154,60,154,154,false,2001550,2001550|2001550|1000003,6.000000|6.000000|16.000000,different_material_route
155,58,155,155,false,2001540,2001540|2001541|1000003,4.000000|4.000000|16.000000,different_material_route
156,60,156,156,false,2000310,2000310|2000310|1000003|2000310,4.000000|4.000000|16.000000|1.000000,different_material_route
157,60,157,157,false,2000300,2000300|2000300|1000003|2000300,4.000000|4.000000|16.000000|1.000000,different_material_route
158,58,158,158,false,2000310,2000310|2000310|1000003|2000310,4.000000|4.000000|16.000000|1.000000,different_material_route
159,58,159,159,false,2000300,2000300|2000300|1000003|2000300,4.000000|4.000000|16.000000|1.000000,different_material_route
160,58,160,160,false,2000330,2000330|2000331|1000003,5.000000|5.000000|16.000000,different_material_route
161,58,161,161,false,2000320,2000320|2000321|1000003,5.000000|5.000000|16.000000,different_material_route
162,60,162,162,false,2000330,2000330|2000331|1000003,5.000000|5.000000|16.000000,different_material_route
163,60,163,163,false,2000320,2000320|2000321|1000003,5.000000|5.000000|16.000000,different_material_route
164,58,164,164,false,2000390,2000390|2000390|1000003|2000390,4.000000|4.000000|16.000000|1.000000,different_material_route
165,60,165,165,false,2000390,2000390|2000390|1000003|2000390,4.000000|4.000000|16.000000|1.000000,different_material_route
166,60,166,166,false,2000380,2000380|2000380|1000003|2000380,4.000000|4.000000|16.000000|1.000000,different_material_route
167,58,167,167,false,2000380,2000380|2000380|1000003|2000380,4.000000|4.000000|16.000000|1.000000,different_material_route
168,5,168,5,true,2000051,1000013|2000051|1000017,16.000000|4.000000|1.000000,
169,5,169,169,false,2000490,1000012|2000490|2000490,12.000000|8.000000|8.000000,different_material_route
170,5,170,170,false,2001700,2001700|2001700|1000003,1.000000|1.000000|16.000000,different_material_route
171,5,171,171,false,2000131,2000130|2000131|1000003,12.000000|6.000000|16.000000,different_material_route
172,3,172,3,true,2000030,2000030|2000031|1000003,5.000000|5.000000|16.000000,
173,3,173,173,false,2000131,2000130|2000131|1000003,12.000000|6.000000|16.000000,different_material_route
174,3,174,174,false,2000131,2000130|2000131|1000003,12.000000|6.000000|16.000000,different_material_route
175,3,175,175,false,2000131,2000130|2000131|1000003,12.000000|6.000000|16.000000,different_material_route
176,3,176,176,false,2000131,2000130|2000131|1000003,12.000000|6.000000|16.000000,different_material_route
177,,177,177,,2000131,2000130|2000131|1000003,12.000000|6.000000|16.000000,
178,,178,178,,2000131,2000130|2000131|1000003,12.000000|6.000000|16.000000,
179,3,179,179,false,2000131,2000130|2000131|1000003,12.000000|6.000000|16.000000,different_material_route
180,3,,,,,,,
182,3,182,182,false,2000131,2000130|2000131|1000003,12.000000|6.000000|16.000000,different_material_route
183,3,,,,,,,
185,3,185,185,false,2000131,2000130|2000131|1000003,12.000000|6.000000|16.000000,different_material_route
188,3,188,188,false,2000131,2000130|2000131|1000003,12.000000|6.000000|16.000000,different_material_route
189,3,189,189,false,2000131,2000130|2000131|1000003,12.000000|6.000000|16.000000,different_material_route
190,3,190,190,false,2001900,2001900|1000006|1000003,5.000000|5.000000|16.000000,different_material_route
191,3,191,191,false,2000250,2000250|3000262|1000003,4.000000|4.000000|16.000000,different_material_route
192,1,192,192,false,2000271,2000271|2000272|1000003,4.000000|4.000000|16.000000,different_material_route
193,1,193,193,false,2000103,2000103|2000103|1000003,6.000000|4.000000|32.000000,different_material_route
194,1,194,194,false,2000103,2000103|2000104|1000003,6.000000|4.000000|32.000000,different_material_route
195,1,195,195,false,2000531,2000531|2000002|2000002|2000531,24.000000|1.000000|1.000000|24.000000,different_material_route
196,4,196,4,true,2000040,2000040|2000041|1000003,4.000000|4.000000|16.000000,
197,4,197,197,false,16109,16109|16109|1000003,6.000000|6.000000|32.000000,different_material_route
198,4,198,198,false,16110,16110|16110|1000003,6.000000|6.000000|32.000000,different_material_route
199,4,199,199,false,16111,16111|16111|1000003,6.000000|6.000000|32.000000,different_material_route
200,4,200,200,false,16113,16113|16113|1000003,6.000000|6.000000|32.000000,different_material_route
201,4,201,201,false,2000260,2000260|2000261|1000003,4.000000|4.000000|16.000000,different_material_route
202,4,202,202,false,2000882,2000882|2000883|1000003,6.000000|6.000000|16.000000,different_material_route
203,4,203,203,false,3000080,3000080|3000081|1000100,1.000000|1.000000|8.000000,different_material_route
204,4,204,204,false,3000080,3000080|3000081|1000100,1.000000|1.000000|8.000000,different_material_route
205,4,205,205,false,3000080,3000080|3000081|1000100,1.000000|1.000000|8.000000,different_material_route
206,4,206,206,false,3000080,3000080|3000081|1000100,1.000000|1.000000|8.000000,different_material_route
207,4,207,207,false,3000080,3000080|3000081|1000100,1.000000|1.000000|8.000000,different_material_route
208,4,208,208,false,3000080,3000080|3000081|1000100,1.000000|1.000000|8.000000,different_material_route
209,4,209,209,false,3000080,3000080|3000081|1000100,1.000000|1.000000|8.000000,different_material_route
210,4,210,210,false,3000080,3000080|3000081|1000100,1.000000|1.000000|8.000000,different_material_route
211,4,211,211,false,3000080,3000080|3000081|1000100,1.000000|1.000000|8.000000,different_material_route
212,4,212,,,,,,ec_facet_id_has_no_terrain_material
213,4,213,,,,,,ec_facet_id_has_no_terrain_material
214,4,214,,,,,,ec_facet_id_has_no_terrain_material
215,4,215,,,,,,ec_facet_id_has_no_terrain_material
216,1,216,,,,,,ec_facet_id_has_no_terrain_material
217,1,217,,,,,,ec_facet_id_has_no_terrain_material
218,1,218,,,,,,ec_facet_id_has_no_terrain_material
219,1,219,,,,,,ec_facet_id_has_no_terrain_material
220,2,220,,,,,,ec_facet_id_has_no_terrain_material
221,2,221,,,,,,ec_facet_id_has_no_terrain_material
222,2,222,,,,,,ec_facet_id_has_no_terrain_material
223,2,223,,,,,,ec_facet_id_has_no_terrain_material
224,2,224,,,,,,ec_facet_id_has_no_terrain_material
225,2,225,,,,,,ec_facet_id_has_no_terrain_material
226,2,226,,,,,,ec_facet_id_has_no_terrain_material
227,2,227,,,,,,ec_facet_id_has_no_terrain_material
228,6,228,,,,,,ec_facet_id_has_no_terrain_material
229,6,229,,,,,,ec_facet_id_has_no_terrain_material
230,6,230,,,,,,ec_facet_id_has_no_terrain_material
231,6,231,,,,,,ec_facet_id_has_no_terrain_material
232,2,232,,,,,,ec_facet_id_has_no_terrain_material
233,2,233,,,,,,ec_facet_id_has_no_terrain_material
234,2,234,,,,,,ec_facet_id_has_no_terrain_material
235,2,235,,,,,,ec_facet_id_has_no_terrain_material
236,4,236,,,,,,ec_facet_id_has_no_terrain_material
237,4,237,,,,,,ec_facet_id_has_no_terrain_material
238,4,238,,,,,,ec_facet_id_has_no_terrain_material
239,4,239,,,,,,ec_facet_id_has_no_terrain_material
240,4,240,,,,,,ec_facet_id_has_no_terrain_material
241,4,241,,,,,,ec_facet_id_has_no_terrain_material
242,4,242,,,,,,ec_facet_id_has_no_terrain_material
243,4,243,,,,,,ec_facet_id_has_no_terrain_material
244,6,244,,,,,,ec_facet_id_has_no_terrain_material
245,6,245,,,,,,ec_facet_id_has_no_terrain_material
246,6,246,,,,,,ec_facet_id_has_no_terrain_material
247,6,247,,,,,,ec_facet_id_has_no_terrain_material
248,4,248,,,,,,ec_facet_id_has_no_terrain_material
249,4,249,,,,,,ec_facet_id_has_no_terrain_material
250,4,250,,,,,,ec_facet_id_has_no_terrain_material
251,4,251,,,,,,ec_facet_id_has_no_terrain_material
252,3,252,,,,,,ec_facet_id_has_no_terrain_material
253,3,253,,,,,,ec_facet_id_has_no_terrain_material
254,3,254,,,,,,ec_facet_id_has_no_terrain_material
255,3,255,,,,,,ec_facet_id_has_no_terrain_material
256,3,256,,,,,,ec_facet_id_has_no_terrain_material
257,3,257,,,,,,ec_facet_id_has_no_terrain_material
258,3,258,,,,,,ec_facet_id_has_no_terrain_material
259,3,259,,,,,,ec_facet_id_has_no_terrain_material
260,6,260,,,,,,ec_facet_id_has_no_terrain_material
261,6,261,,,,,,ec_facet_id_has_no_terrain_material
262,6,262,,,,,,ec_facet_id_has_no_terrain_material
263,6,263,,,,,,ec_facet_id_has_no_terrain_material
264,3,264,,,,,,ec_facet_id_has_no_terrain_material
265,3,265,,,,,,ec_facet_id_has_no_terrain_material
266,3,266,,,,,,ec_facet_id_has_no_terrain_material
268,8,268,8,true,2000080,2000080|2000081|1000003|1000013|1000014,5.000000|5.000000|16.000000|12.000000|2.000000,
269,8,269,,,,,,ec_facet_id_has_no_terrain_material
270,8,270,,,,,,ec_facet_id_has_no_terrain_material
271,8,271,,,,,,ec_facet_id_has_no_terrain_material
272,6,272,,,,,,ec_facet_id_has_no_terrain_material
273,6,273,,,,,,ec_facet_id_has_no_terrain_material
274,6,274,,,,,,ec_facet_id_has_no_terrain_material
275,6,275,,,,,,ec_facet_id_has_no_terrain_material
276,8,276,,,,,,ec_facet_id_has_no_terrain_material
277,8,277,,,,,,ec_facet_id_has_no_terrain_material
278,8,278,,,,,,ec_facet_id_has_no_terrain_material
279,8,279,,,,,,ec_facet_id_has_no_terrain_material
282,8,282,8,true,2000080,2000080|2000081|1000003|1000013|1000014,5.000000|5.000000|16.000000|12.000000|2.000000,
283,8,283,,,,,,ec_facet_id_has_no_terrain_material
284,8,284,,,,,,ec_facet_id_has_no_terrain_material
285,8,285,,,,,,ec_facet_id_has_no_terrain_material
286,7,286,,,,,,ec_facet_id_has_no_terrain_material
287,7,287,,,,,,ec_facet_id_has_no_terrain_material
288,7,288,,,,,,ec_facet_id_has_no_terrain_material
289,7,289,,,,,,ec_facet_id_has_no_terrain_material
290,6,290,,,,,,ec_facet_id_has_no_terrain_material
291,6,291,,,,,,ec_facet_id_has_no_terrain_material
292,6,292,,,,,,ec_facet_id_has_no_terrain_material
293,6,293,,,,,,ec_facet_id_has_no_terrain_material
294,7,294,,,,,,ec_facet_id_has_no_terrain_material
295,7,295,,,,,,ec_facet_id_has_no_terrain_material
296,7,296,,,,,,ec_facet_id_has_no_terrain_material
297,7,297,,,,,,ec_facet_id_has_no_terrain_material
298,7,298,,,,,,ec_facet_id_has_no_terrain_material
299,7,299,,,,,,ec_facet_id_has_no_terrain_material
300,7,300,,,,,,ec_facet_id_has_no_terrain_material
301,7,301,,,,,,ec_facet_id_has_no_terrain_material
310,5,310,,,,,,ec_facet_id_has_no_terrain_material
311,5,311,,,,,,ec_facet_id_has_no_terrain_material
321,2,321,,,,,,ec_facet_id_has_no_terrain_material
322,2,322,,,,,,ec_facet_id_has_no_terrain_material
323,2,323,,,,,,ec_facet_id_has_no_terrain_material
324,2,324,,,,,,ec_facet_id_has_no_terrain_material
328,0,,,,,,,
329,0,,,,,,,
331,0,,,,,,,
332,2,332,,,,,,ec_facet_id_has_no_terrain_material
333,2,333,,,,,,ec_facet_id_has_no_terrain_material
334,2,334,,,,,,ec_facet_id_has_no_terrain_material
335,2,335,,,,,,ec_facet_id_has_no_terrain_material
336,21,336,21,true,2000210,2000210|2000211|1000003,5.000000|5.000000|16.000000,
337,21,337,,,,,,ec_facet_id_has_no_terrain_material
338,21,338,,,,,,ec_facet_id_has_no_terrain_material
339,21,339,,,,,,ec_facet_id_has_no_terrain_material
340,21,340,,,,,,ec_facet_id_has_no_terrain_material
341,21,341,,,,,,ec_facet_id_has_no_terrain_material
342,21,342,,,,,,ec_facet_id_has_no_terrain_material
343,21,343,,,,,,ec_facet_id_has_no_terrain_material
344,21,344,,,,,,ec_facet_id_has_no_terrain_material
345,21,345,,,,,,ec_facet_id_has_no_terrain_material
349,4,349,,,,,,ec_facet_id_has_no_terrain_material
350,4,350,,,,,,ec_facet_id_has_no_terrain_material
351,4,351,,,,,,ec_facet_id_has_no_terrain_material
352,4,352,,,,,,ec_facet_id_has_no_terrain_material
353,4,353,,,,,,ec_facet_id_has_no_terrain_material
354,4,354,,,,,,ec_facet_id_has_no_terrain_material
355,4,355,,,,,,ec_facet_id_has_no_terrain_material
356,4,356,,,,,,ec_facet_id_has_no_terrain_material
357,4,357,,,,,,ec_facet_id_has_no_terrain_material
358,4,358,,,,,,ec_facet_id_has_no_terrain_material
359,4,359,,,,,,ec_facet_id_has_no_terrain_material
360,4,360,,,,,,ec_facet_id_has_no_terrain_material
361,2,361,,,,,,ec_facet_id_has_no_terrain_material
362,2,362,,,,,,ec_facet_id_has_no_terrain_material
363,2,363,,,,,,ec_facet_id_has_no_terrain_material
364,2,364,,,,,,ec_facet_id_has_no_terrain_material
365,2,365,,,,,,ec_facet_id_has_no_terrain_material
366,2,366,,,,,,ec_facet_id_has_no_terrain_material
367,2,367,,,,,,ec_facet_id_has_no_terrain_material
368,2,368,,,,,,ec_facet_id_has_no_terrain_material
369,2,369,,,,,,ec_facet_id_has_no_terrain_material
370,2,370,,,,,,ec_facet_id_has_no_terrain_material
371,2,371,,,,,,ec_facet_id_has_no_terrain_material
372,2,372,,,,,,ec_facet_id_has_no_terrain_material
377,62,377,62,true,2000620,2000620|2000621|1000003,5.000000|5.000000|16.000000,
378,61,378,61,true,2000610,2000610|2000611|1000003,5.000000|5.000000|16.000000,
379,63,379,63,true,2000630,2000630|2000631|1000003,5.000000|5.000000|16.000000,
380,62,380,62,true,2000620,2000620|2000621|1000003,5.000000|5.000000|16.000000,
381,64,381,64,true,2000640,2000640|2000641|1000003,5.000000|5.000000|16.000000,
382,64,382,,,,,,ec_facet_id_has_no_terrain_material
383,62,383,,,,,,ec_facet_id_has_no_terrain_material
384,63,384,63,true,2000630,2000630|2000631|1000003,5.000000|5.000000|16.000000,
385,61,385,61,true,2000610,2000610|2000611|1000003,5.000000|5.000000|16.000000,
386,61,386,,,,,,ec_facet_id_has_no_terrain_material
387,63,387,,,,,,ec_facet_id_has_no_terrain_material
388,63,388,,,,,,ec_facet_id_has_no_terrain_material
389,61,389,,,,,,ec_facet_id_has_no_terrain_material
390,61,390,,,,,,ec_facet_id_has_no_terrain_material
391,63,,,,,,,
392,63,392,,,,,,ec_facet_id_has_no_terrain_material
393,61,393,,,,,,ec_facet_id_has_no_terrain_material
394,61,394,,,,,,ec_facet_id_has_no_terrain_material
420,1,420,,,,,,ec_facet_id_has_no_terrain_material
421,1,421,,,,,,ec_facet_id_has_no_terrain_material
423,1,423,,,,,,ec_facet_id_has_no_terrain_material
424,7,424,,,,,,ec_facet_id_has_no_terrain_material
425,7,425,,,,,,ec_facet_id_has_no_terrain_material
426,7,426,,,,,,ec_facet_id_has_no_terrain_material
427,7,427,,,,,,ec_facet_id_has_no_terrain_material
430,170,430,170,true,2001700,2001700|2001700|1000003,1.000000|1.000000|16.000000,
431,0,431,2006,false,2000061,2000060|2000061|1000003,9.000000|6.000000|24.000000,different_material_route
